dataHora,ordem,linha,latitude,longitude,velocidade
12-28-2017 09:10:26,D17044,825,"-22.90233","-43.56168",0
12-28-2017 09:10:58,A29139,472,"-22.89641","-43.2416",0
12-28-2017 09:16:13,C47935,,"-22.905371","-43.214882",0
12-28-2017 09:16:26,B27142,951,"-22.81702","-43.301949",0
12-28-2017 09:17:48,B27113,639,"-22.816931","-43.301651",0
12-28-2017 09:19:15,C42566,,"-22.876539","-43.329391",0
12-28-2017 09:21:23,A37605,584,"-22.901859","-43.19656",0
12-28-2017 09:21:32,D13163,756,"-22.88302","-43.55262",0
12-28-2017 09:23:21,D53646,759,"-22.88394","-43.494911",0
12-28-2017 09:24:56,C27022,SV774,"-22.819639","-43.317451",59
12-28-2017 09:26:23,B27139,950,"-22.83742","-43.31633",0
12-28-2017 09:27:02,A50080,302,"-22.959892","-43.395275",0
12-28-2017 09:27:10,B55126,,"-22.909821","-43.24025",29
12-28-2017 09:27:56,A50098,302,"-22.929539","-43.254013",0.37
12-28-2017 09:30:39,D53610,396,"-22.884251","-43.494968",0
12-28-2017 09:33:04,C44520,,"-22.860661","-43.355942",0
12-28-2017 09:34:30,D53638,,"-22.88389","-43.495071",0
12-28-2017 09:37:08,C47975,2114,"-22.952379","-43.348221",0
12-28-2017 09:37:37,C30284,876,"-22.95089","-43.348148",3
12-28-2017 09:37:58,A27541,548,"-22.99902","-43.26968",47
12-28-2017 09:38:11,C47619,368,"-22.905331","-43.214581",0
12-28-2017 09:41:48,B44631,,"-22.861231","-43.355751",0
12-28-2017 09:43:17,B32832,399,"-22.903509","-43.185341",41
12-28-2017 09:43:41,D53928,2310,"-22.883699","-43.49501",0
12-28-2017 09:45:34,B55112,,"-22.91539","-43.250851",0
12-28-2017 09:49:33,D53641,759,"-22.93602","-43.656109",0
12-28-2017 09:51:33,A41036,111,"-22.874662","-43.241615",0.74
12-28-2017 09:52:28,B31057,497,"-22.80447","-43.30986",0
12-28-2017 09:53:12,A41091,112,"-22.85792","-43.245075",0
12-28-2017 10:01:19,B11552,300,"-22.866524","-43.356014",0
12-28-2017 10:03:16,A41038,106,"-22.875319","-43.240536",0.19
